ID,Weight,Area
1,0.1143911211540286,43120
2,0.13058557913065497,48158
3,0.15258068078166506,52276
4,0.159756497,59542
5,0.15120857137399554,54360
6,0.17299207742278172,58359
7,0.17326762151447145,63533
8,0.17482985755867014,63846
9,0.16299835279141311,71129
10,0.1585538503384109,63586
11,0.17405884487303125,64427
12,0.15713973845444212,65935
13,0.18059791351474788,68788
14,0.1852061106573803,62444
15,0.18419236390385452,77139
16,0.17480493646492595,68406
17,0.1726367713676406,67828
18,0.16719137026750705,69868
19,0.19006166816212475,82532
20,0.19713990463118153,73486
21,0.19200613265606417,76090
22,0.1831950524630937,75265
23,0.19832832273989384,78075
24,0.17182396614179954,83983
25,0.16300709784203177,76206
26,0.1914457277375783,76433
27,0.20277380492815653,90050
28,0.18700531050946276,79583
29,0.18261418769912577,82199
30,0.2066862305353871,81674
31,0.19799762495329287,84022
32,0.1825977702154408,84089
33,0.19833109679717656,86102
34,0.20464675100618923,81780
35,0.20924773214785672,77815
36,0.20055450238174333,85143
37,0.19979444272511604,85134
38,0.19168589888242973,92033
39,0.2029145398888134,77568
40,0.2114216122516513,82850
41,0.1940123291505837,85032
42,0.19651787253221512,80198
43,0.2127477538297113,97473
44,0.21219854055116877,78742
45,0.22087419422032545,90382
46,0.2111287335390724,85922
47,0.2178647332256166,92174
48,0.2125289395243859,89340
49,0.2143339114796503,87944
50,0.23119257742372873,89860
51,0.2129810766243105,86872
52,0.20987267498480255,85333
53,0.21385899239076525,84317
54,0.2276948794242371,89093
55,0.2171438011161666,89823
56,0.2226704710561114,89206
57,0.2348509479317542,87415
58,0.23120975156462295,90851
59,0.223875951,86877
60,0.2290384057906049,94860
61,0.21805606378772055,97485
62,0.2396877657062457,88264
63,0.2292155625359019,97842
64,0.2166011559152148,89990
65,0.22362145764951524,96646
66,0.2265195888632607,98228
67,0.23973364866495772,89953
68,0.2114204868354706,93304
69,0.25768218395338427,86943
70,0.22814231709156027,93866
71,0.2410477025831328,97095
72,0.23253705105976605,92206
73,0.23140919748530803,89653
74,0.22316394974437104,91048
75,0.237235488,97607
76,0.2397865004981217,93756
77,0.24638580921402495,95305
78,0.24129390542620527,96526
79,0.23569886214390537,96695
80,0.254286625,101677
81,0.24252116764547585,91614
82,0.25247321922778465,106448
83,0.24572341032615708,98060
84,0.24725383346313431,97666
85,0.2530578518229984,98580
86,0.2562269293985471,101266
87,0.253249955,97240
88,0.24632407199893824,97258
89,0.2385426088508915,99007
90,0.2387231367699986,99463
91,0.27436631557783664,101040
92,0.23881921185924276,108584
93,0.2487195409772445,95141
94,0.24905939491219373,103740
95,0.253680005,104210
96,0.2389688279957481,104317
97,0.2657662094096394,117475
98,0.27138146208227043,110435
99,0.25558102430127366,109199
100,0.24288600679375852,105750
101,0.26682788109795413,110484
102,0.2514828431974687,101464
103,0.2507830811486417,109832
104,0.2651152292004882,110635
105,0.27837940606101297,117041
106,0.2672595369707754,102999
107,0.2565926287780797,116960
108,0.25236054415642534,104720
109,0.26433891183152664,108080
110,0.24923058012315985,109621
111,0.29320720123727834,113713
112,0.278707767,120415
113,0.28424735791806355,123790
114,0.28333073766160377,115266
115,0.28940856911982193,117538
116,0.2787442954497334,121873
117,0.28504322752738814,132963
118,0.30829070930672464,128072
119,0.2888221408405833,121921
120,0.28593899117613614,123204